"","trialNo","target","condition1.x","condition3","mean","sd","N","se","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality"
"26",13,"<b>In the museum,</b><br> <br>you rip a painting into small pieces.","immoral","slow",0.44,0.501426536422407,50,0.0709124208342335,"immoral",4.85185185185185,5,0.601517549056852,0,27,22,0.115762106290086,0
"27",14,"<b>In the museum,</b><br> <br>you steal your favorite sculpture.","immoral","fast",0.589041095890411,0.495412747064847,73,0.0579836762520561,"immoral",4.88888888888889,5,0.423659272868162,0,27,22,0.0815332650783714,0
"28",14,"<b>In the museum,</b><br> <br>you steal your favorite sculpture.","immoral","slow",0.51219512195122,0.506060827347474,41,0.0790334231513154,"immoral",4.88888888888889,5,0.423659272868162,0,27,22,0.0815332650783714,0
"29",15,"<b>In the museum,</b><br> <br>you break the arm of a security guard.","immoral","fast",0.569620253164557,0.498293094262482,79,0.0560623531469709,"immoral",4.92307692307692,5,0.271746488194703,0,26,22,0.0532938710021193,0
"30",15,"<b>In the museum,</b><br> <br>you break the arm of a security guard.","immoral","slow",0.404255319148936,0.496052875341062,47,0.0723567484441301,"immoral",4.92307692307692,5,0.271746488194703,0,26,22,0.0532938710021193,0
"31",16,"<b>In the museum,</b><br> <br>you throw an exhibit out the window.","immoral","fast",0.608108108108108,0.49150502910142,74,0.0571362990637523,"immoral",4.88,4.95238095238095,0.6,0.218217890235992,25,21,0.12,0.0476190476190476
"32",16,"<b>In the museum,</b><br> <br>you throw an exhibit out the window.","immoral","slow",0.568965517241379,0.499546073442513,58,0.0655936129528174,"immoral",4.88,4.95238095238095,0.6,0.218217890235992,25,21,0.12,0.0476190476190476
"33",17,"<b>In the restaurant,</b><br> <br> you wait in line for your food.","ordinary","fast",0.0337078651685393,0.181498697857036,89,0.0192388234952373,"ordinary",1.28571428571429,1,0.854493259282208,0,28,22,0.161484047217268,0
"34",17,"<b>In the restaurant,</b><br> <br> you wait in line for your food.","ordinary","slow",0,0,29,0,"ordinary",1.28571428571429,1,0.854493259282208,0,28,22,0.161484047217268,0
"35",18,"<b>In the restaurant,</b><br> <br> you make a salad at the salad bar.","ordinary","fast",0.0602409638554217,0.239379155844276,83,0.0262752758982037,"ordinary",1.11111111111111,1.27272727272727,0.423659272868162,0.88273482950475,27,22,0.0815332650783714,0.18819969800246
