"","trialNo","target","condition1.x","mean_fast","mean_slow","sd_fast","sd_slow","N_fast","N_slow","se_fast","se_slow","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality","FminusS"
"21",21,"<b>In the restaurant,</b><br> <br> you eat one-hundred veggie pizzas.","impossible",0.647058823529412,0.859375,0.481437706401216,0.350382444113368,68,64,0.0583828975190388,0.0437978055141709,"impossible",4.19047619047619,2.86666666666667,1.20909253653505,1.64171803158706,21,15,0.263845622422763,0.423889773033674,-0.212316176470588
"22",22,"<b>In the restaurant,</b><br> <br> you read the minds of fellow diners.","impossible",0.833333333333333,0.864864864864865,0.375090176747726,0.346583496606691,78,37,0.0424705992864688,0.0569779758588897,"impossible",3.44444444444444,3.9,1.13038833052088,1.19721899973786,9,10,0.376796110173626,0.378593889720018,-0.0315315315315315
"23",23,"<b>In the restaurant,</b><br> <br> you grow another head on your back.","impossible",0.911392405063291,0.971428571428571,0.285992353211451,0.169030850945703,79,35,0.0321766536355566,0.0285714285714286,"impossible",3.6,4.6,1.94935886896179,0.894427190999916,5,5,0.871779788708135,0.4,-0.0600361663652803
"24",24,"<b>In the restaurant,</b><br> <br> you climb inside of a bowl of cereal.","impossible",0.792682926829268,0.978260869565217,0.407879335765388,0.147441956154897,82,46,0.0450427375029666,0.0217391304347826,"impossible",4.66666666666667,4.5,0.887625364598595,0.836660026534076,12,6,0.256235371595269,0.341565025531987,-0.185577942735949
"25",25,"<b>In the restaurant,</b><br> <br> you sit on the floor to eat your food.","abnormal",0.28,0.314814814814815,0.45202248210053,0.468803135819012,75,54,0.0521950603441008,0.0637960262540699,"abnormal",4.67857142857143,3.81818181818182,0.611832186419303,0.957992128229099,28,22,0.115625414955027,0.20424460800148,-0.0348148148148148
"26",26,"<b>In the restaurant,</b><br> <br> you walk around the room barefoot.","abnormal",0.272727272727273,0.321428571428571,0.448282207765424,0.471251442520786,77,56,0.0510864988135469,0.0629736228905634,"abnormal",4.55555555555556,4.09090909090909,0.974021534011414,0.971454035826165,27,22,0.187450531619327,0.207114696344687,-0.0487012987012987
"27",27,"<b>In the restaurant,</b><br> <br> you take an entire serving platter of food.","abnormal",0.205128205128205,0.119402985074627,0.406408864529509,0.32670940009765,78,67,0.0460167423779546,0.0399139058759117,"abnormal",3.71428571428571,2.86363636363636,1.51185789203691,1.52113536999598,28,22,0.285714285714286,0.324307150557,0.0857252200535783
"28",28,"<b>In the restaurant,</b><br> <br> you sit down at a random family's table.","abnormal",0.191176470588235,0.253968253968254,0.396151370932671,0.438775935480263,68,63,0.0480404101790778,0.0552805717409761,"abnormal",4.62962962962963,4,0.629294363562392,0.816496580927726,27,22,0.121107756734087,0.174077655955698,-0.0627917833800187
"29",29,"<b>In the restaurant,</b><br> <br> you stab someone with a fork.","immoral",0.542168674698795,0.4,0.501247342168663,0.5,83,25,0.0550190435849424,0.1,"immoral",4.76923076923077,4.90909090909091,0.815239464584109,0.426401432711221,26,22,0.159881613006358,0.0909090909090909,0.142168674698795
"30",30,"<b>In the restaurant,</b><br> <br> you steal plates for your kitchen.","immoral",0.402439024390244,0.395833333333333,0.493407304203142,0.49420399497827,82,48,0.054487721579629,0.0713322023838232,"immoral",4.85185185185185,4.68181818181818,0.601517549056852,0.945483682534709,27,22,0.115762106290086,0.20157779841894,0.00660569105691061
