ResponseId,answerOrder,scenario,question,SCEN,SCEN (2nd),consistent,SCEN (final),action,action (2nd),code1,code1 (2nd),code2,code 2 (2nd),code3,code 3 (2nd),ScenarioCode,ScenarioCode (2nd),ConventionalViolation,ConventionalViolation (2nd),consistent (T:3117; F:126),ConventionalViolation
R_1imVtppPmFBmcgr,5,scenario1,See artifacts,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_1imVtppPmFBmcgr,6,scenario1,See natural history exhibits,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_1imVtppPmFBmcgr,7,scenario1,See traveling exhibits,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_1imVtppPmFBmcgr,8,scenario1,Learn about artists,Y,Y,,Y,MENT,MENT,,,,,,,LEARN,LEARN,N,N,,N
R_1JQsNRgY0ZZKmfX,1,scenario1,Look at historical exhibits.,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_1JQsNRgY0ZZKmfX,2,scenario1,Use the restroom.,N,N,,N,ACT,ACT,BATH,BATH,,,,,,,N,N,,N
R_1JQsNRgY0ZZKmfX,3,scenario1,Take selfies in the exhibits.,Y,Y,,Y,ACT,ACT,PHONE,PHONE,,,,,PIC,PIC,N,N,,N
R_1JQsNRgY0ZZKmfX,4,scenario1,Meet some history buffs who are also there.,Y,Y,,Y,ACT,ACT,SOC,SOC,,,,,TALK,TALK,N,N,,N
R_1JQsNRgY0ZZKmfX,5,scenario1,Talk to the security guards.,N,Y,,Y,ACT,ACT,SOC,SOC,AUTH,AUTH,,,TALK,TALK,N,N,,N
R_1JQsNRgY0ZZKmfX,6,scenario1,Run through the hallways between exhibits.,Y,Y,,Y,ACT,ACT,,,,,,,EXPL,,Y,Y,,Y
R_1JQsNRgY0ZZKmfX,7,scenario1,Argue with my wife over which exhibits are better.,Y,Y,,Y,ACT,ACT,SOC,SOC,,,,,TALK,TALK,Y,N,,Y
R_1JQsNRgY0ZZKmfX,8,scenario1,Learn about history.,Y,Y,,Y,MENT,ACT,,,,,,,LEARN,LEARN,N,N,,N
R_1LO4n3To983qGbQ,1,scenario1,Worry about my backpack,Y,Y,,Y,MENT,EMO,,,,,,,BPACK,BPACK,N,N,,N
R_1LO4n3To983qGbQ,2,scenario1,spend less time there,Y,N,,N,ACT,ACT,,,,,,,,,N,N,,N
R_1LO4n3To983qGbQ,3,scenario1,forget where you left your bag,Y,Y,,Y,MENT,MENT,,,,,,,BPACK,BPACK,N,N,,N
R_1LO4n3To983qGbQ,4,scenario1,not worry about losing your bag since its checked in,Y,Y,,Y,MENT,EMO,,,,,,,BPACK,BPACK,N,N,,N
R_1LO4n3To983qGbQ,5,scenario1,spend longer than you planned,N,N,,N,ACT,ACT,,,,,,,,,N,N,,N
